index,대화0,대화1,대화2,대화3,대화4,대화5,대화6,대화7,대화8,대화9
11,/I/ /t/h/i/n/k/ /I/ /a/m/ /t/h/i/r/s/t/y/ /a/ /l/i/t/t/l/e/ /b/i/t/./,/././I/ /d/o/ /n/o/t/ /w/a/n/t/ /t/o/ /m/o/v/e/./,/I/ /w/a/n/t/ /t/o/ /e/a/t/ /a/ /w/a/r/m/ /a/n/d/ /s/o/f/t/ /h/o/t/ /c/a/k/e/./,/I/ /h/a/v/e/ /t/o/ /g/o/ /t/o/ /t/h/r/o/w/ /o/u/t/ /t/h/e/ /g/a/r/b/a/g/e/ /b/u/t/ /I/ /d/o/n/'/t/ /w/a/n/t/ /t/o/ /g/o/ /o/u/t/./,/.////////.////////O/n/e/d/a/y/ /I/'/l/l/ /b/e/ /a/b/l/e/ /t/o/ /g/o/ /o/u/t/./,/I/t/ /i/s/ /g/o/o/d/ /t/h/i/n/g/s/ /t/h/a/t/ /t/h/e/ /f/a/m/i/l/y/ /i/s/ /h/e/a/l/t/h/y/./,/I/ /a/m/ /t/h/i/r/s/t/y/ /s/o/ /I/ /n/e/e/d/ /t/o/ /d/r/i/n/k/ /s/o/m/e/ /w/a/t/e/r/./ ////////I/ /a/m/ /g/o/i/n/g/ /t/o/ /d/r/i/n/k/ /i/t/ /l/a/t/e/r/./,/I/f/ /y/o/u/ /w/a/k/e/ /u/p/ /i/n/ /t/h/e/ /m/o/r/n/i/n/g/ /a/n/d/ /s/t/r/e/t/c/h/ /l/i/g/h/t/l/y/ /y/o/u/r/ /b/o/d/y/ /w/i/l/l/ /f/e/e/l/ /l/i/g/h/t/./,/I/ /t/h/i/n/k/ /t/h/e/ /w/a/l/l/p/a/p/e/r/ /l/o/o/k/s/ /n/i/c/e/ /b/e/c/a/u/s/e/ /i/t/ /i/s/ /c/l/e/a/n/./ /I/ /s/h/o/u/l/d/ /h/a/v/e/ /d/o/n/e/ /t/h/a/t/ /b/e/f/o/r/e/./ /.///////.///////W/h/y/ /d/i/d/n/'/t/ /I/ /d/o/ /i/t/ /b/e/f/o/r/e/?/,/P/e/o/p/l/e/ /w/o/r/r/y/ /i/f/ /s/o/m/e/t/h/i/n/g/ /h/a/p/p/e/n/s/ /w/h/e/n/ /t/h/e/y/ /s/u/d/d/e/n/l/y/ /c/h/a/n/g/e/./ ///////I/t/ /i/s/ /n/o/t/ /m/y/ /s/t/o/r/y/./ ///////D/o/n/'/t/ /w/o/r/r/y/./
12,/I/ /t/h/i/n/k/ /h/e/r/e/ /i/s/ /a/ /l/i/t/t/l/e/ /b/i/t/ /c/o/l/d/./,/H/o/w/ /l/o/n/g/ /w/i/l/l/ /t/h/i/s/ /r/a/i/n/ /l/a/s/t/?/ /.////////.////////I/s/ /i/t/ /g/o/i/n/g/ /t/o/ /s/t/o/p/?/,/I/ /w/a/n/t/ /t/o/ /d/r/i/n/k/ /a/ /c/o/o/l/ /s/o/d/a/./,"/T/o/d/a/y/ /a/n/d/ /t/o/m/o/r/r/o/w/,/ /I/ /w/i/l/l/ /s/t/a/y/ /a/t/ /h/o/m/e/ /a/l/l/ /d/a/y/././ /S/o/m/e/d/a/y/ /I/'/l/l/ /g/o/ /o/u/t/s/i/d/e/./",/T/h/i/n/k/i/n/g/ /i/s/ /e/a/s/y/ /a/n/d/ /d/i/f/f/i/c/u/l/t/./,/W/h/e/n/ /I/ /w/o/k/e/ /u/p/ /t/h/e/ /m/o/r/n/i/n/g/ /p/a/s/s/e/d/ /b/y/././,/T/h/e/ /m/e/m/o/r/y/ /o/f/ /t/h/e/ /c/u/m/u/l/u/s/ /c/l/o/u/d/ /i/s/ /f/a/d/i/n/g/ /a/w/a/y/./ /W/e/ /w/i/l/l/ /b/e/ /a/b/l/e/ /t/o/ /s/e/e/ /i/t/ /s/o/m/e/d/a/y/./,/M/a/y/b/e/ /i/s/ /i/t/ /j/u/s/t/ /m/y/ /f/e/e/l/i/n/g/ /t/h/a/t/ /t/h/e/ /s/o/u/n/d/ /o/f/ /t/h/e/ /r/a/i/n/ /d/i/e/s/ /d/o/w/n/./ ///////I/ /r/e/a/l/l/y/ /h/o/p/e/ /i/t/ /i/s/ /r/e/a/l/./,/I/f/ /w/e/ /t/r/a/v/e/l/ /s/o/m/e/w/h/e/r/e/ /t/o/g/e/t/h/e/r/ /l/a/t/e/r///////.///////.///////W/h/e/r/e/ /w/o/u/l/d/ /i/t/ /b/e/ /g/o/o/d/?/,/I/t/ /i/s/ /h/a/r/d/e/r/ /t/o/ /b/e/ /a/ /k/i/n/d/ /p/e/r/s/o/n/ /t/h/a/n/ /t/o/ /m/e/e/t/ /k/i/n/d/ /p/e/o/p/l/e/./ /I/'/m/ /s/t/i/l/l/ /a/ /l/o/t/ /o/f/ /t/h/i/n/g/s/ /t/o/ /l/e/a/r/n/.
13,/(/Y/o/u/ /a/r/e/ /j/u/s/t/ /l/o/s/t/ /i/n/ /t/h/o/u/g/h/t/./)/,/(/Y/o/u/ /a/r/e/ /n/o/t/ /d/o/i/n/g/ /a/n/y/t/h/i/n/g/./)/,/W/h/a/t/ /i/s/ /t/h/e/r/e/ /i/f/ /l/ /g/o/ /o/u/t/ /o/f/ /h/e/r/e/?/,/(/Y/o/u/ /c/o/u/g/h/ /h/a/r/d/.///////.///////./////// /s/o/o/n/ /t/h/e/ /c/o/u/g/h/ /g/o/e/s/ /a/w/a/y/./)/,/I/t/'/s/ /r/a/i/n/i/n/g/ /a/ /l/o/t/ /o/u/t/s/i/d/e/ /r/i/g/h/t/ /n/o/w/ /s/o/ /i/t/'/s/ /g/o/i/n/g/ /t/o/ /b/e/ /h/a/r/d/ /f/o/r/ /p/e/o/p/l/e/ /o/u/t/s/i/d/e/./,/(/S/o/m/e/w/h/e/r/e/ /h/e/a/r/d/ /s/o/u/n/d/ /o/f/ /s/t/o/m/a/c/h/ /g/r/o/w/l/i/n/g/./)/ /././A/h/e/m/,/W/e/l/l////////.////////.//////// /I/ /w/a/s/ /j/u/s/t/ /t/h/i/n/k/i/n/g/ /a/b/o/u/t/ /s/o/m/e/t/h/i/n/g/./,/I/t/ /i/s/ /h/a/r/d/ /t/o/ /e/m/p/a/t/h/i/z/e/ /w/i/t/h/ /p/e/o/p/l/e/ /b/e/c/a/u/s/e/ /t/h/e/y/ /h/a/v/e/ /d/i/f/f/e/r/e/n/t/ /e/x/p/e/r/i/e/n/c/e/s/./ ///////I/t/ /i/s/ /n/o/t/ /w/r/o/n/g/ /e/v/e/n/ /i/f/ /y/o/u/ /c/a/n/n/o/t/ /d/o/ /i/t/ /w/e/l/l/./,/I/ /w/a/s/ /r/e/a/d/i/n/g/ /a/ /b/o/o/k/ /a/n/d/ /s/a/w/ /a/n/ /a/n/c/i/e/n/t/ /h/i/s/t/o/r/i/c/a/l/ /s/i/t/e/./ ///////I/ /w/a/n/t/ /t/o/ /g/o/ /t/h/a/t/ /s/i/t/e/ /s/o/m/e/d/a/y/./,/W/h/a/t/ /s/h/o/u/l/d/ /I/ /d/o/ /t/o/ /s/h/a/k/e/ /o/f/f/ /t/h/e/ /f/e/e/l/i/n/g/ /o/f/ /d/e/p/r/e/s/s/i/o/n/?/ ///////W/e/l/l/////// /t/h/a/t/ /i/s/ /a/ /t/o/u/g/h/ /i/d/e/a/./
14,/(/Y/o/u/ /a/r/e/ /l/o/o/k/i/n/g/ /a/t/ /y/o/u/r/ /p/a/l/m/./)/,/I/ /t/h/i/n/k/ /I/ /s/e/e/ /s/o/m/e/t/h/i/n/g/ /o/u/t/ /t/h/e/r/e/./,/I/t/'/s/ /s/m/a/l/l/ /b/u/t/ /I/ /g/o/o/d/ /t/o/ /h/a/v/e/ /t/h/e/ /r/o/o/m/./,/I/t/ /i/s/ /r/e/a/l/l/y/ /d/u/s/t/y/ /i/n/ /h/e/r/e/./ /I/ /s/h/o/u/l/d/ /c/l/e/a/n/ /u/p/ /s/o/m/e/ /d/a/y/./,/(/I/ /h/e/a/r/ /a/ /l/o/u/d/ /s/n/e/e/z/e/./ /F/o/r/t/u/n/a/t/e/l/y/ /I/ /d/o/ /n/o/t/ /t/h/i/n/k/ /i/t/ /i/s/ /a/ /c/o/u/g/h/./)/,/I/ /w/a/n/t/ /t/o/ /e/a/t/ /a/ /l/o/t/ /o/f/ /r/e/a/l/l/y/ /d/e/l/i/c/i/o/u/s/ /f/o/o/d/./ /B/u/t/ /I/t/ /i/s/ /n/o/t/ /g/o/o/d/ /f/o/r/ /m/y/ /h/e/a/l/t/h/./,/I/ /w/a/n/t/ /t/o/ /m/a/k/e/ /s/o/m/e/t/h/i/n/g/ /t/o/ /e/a/t/ /r/a/t/h/e/r/ /t/h/a/n/ /k/e/e/p/ /b/u/y/i/n/g/ /m/e/a/l/s/./,/I/f/ /I/ /g/o/ /s/o/m/e/w/h/e/r/e/ /t/o/g/e/t/h/e/r/ /l/a/t/e/r/ /.///////.///////.///////W/e/l/l/ /,/H/o/w/ /l/o/n/g/ /w/i/l/l/ /i/t/ /t/a/k/e/ /f/o/r/ /p/e/o/p/l/e/ /t/o/ /t/a/l/k/ /f/a/c/e/ /t/o/ /f/a/c/e/ /t/h/e/s/e/ /d/a/y/s/?/ ///////W/e/ /a/r/e/ /a/l/l/ /l/i/v/i/n/g/ /a/ /b/u/s/y/ /l/i/f/e/./,/S/o/m/e/t/i/m/e/s/ /I/ /d/o/ /n/o/t/ /l/i/k/e/ /s/o/m/e/o/n/e/ /c/o/m/i/n/g/ /b/u/t/ /i/f/ /s/o/m/e/o/n/e/ /k/e/e/p/ /c/o/m/i/n/g/ /d/o/ /I/ /g/e/t/ /u/s/e/d/ /t/o/ /i/t/?/
15,/(/L/o/o/k/i/n/g/ /a/t/ /t/h/e/ /c/e/i/l/i/n/g/./)/,/I/ /d/o/n/'/t/ /l/i/k/e/ /t/o/ /b/e/ /s/t/i/c/k/y/./,/I/t/'/s/ /e/x/p/e/n/s/i/v/e/ /b/u/t/ /I/'/l/l/ /h/a/v/e/ /t/o/ /b/u/y/ /s/o/m/e/t/h/i/n/g/ /t/o/ /e/a/t/./,A/ /U/m/b/r/e/l/l/a/ /i/s/ /a/ /m/u/s/t/ /i/n/ /t/h/i/s/ /w/e/a/t/h/e/r/./ /O/r/ /y/o/u/ /c/a/n/ /w/e/a/r/ /a/ /r/a/i/n/c/o/a/t/./,/(/W/h/e/n/ /W/h/e/n/ /t/h/e/y/ /k/e/e/p/ /a/n/ /e/y/e/ /c/o/n/t/a/c/t/ /e/y/e/s/ /w/i/d/e/n/e/d/.///////// /A/n/d/ /r/e/t/u/r/n/e/d/ /t/o/ /n/o/r/m/a/l/ /s/o/o/n/./)/,/I/n/ /e/a/r/l/i/e/r/ /t/i/m/e/s/ /t/h/e/ /r/a/i/n/ /i/s/ /f/a/l/l/i/n/g/ /i/n/ /m/y/ /m/i/n/d/ /b/u/t/ /t/h/e/s/e/ /d/a/y/s/ /i/t/'/s/ /d/r/i/z/z/l/i/n/g/./,/I/ /w/o/u/l/d/ /b/e/ /h/a/p/p/y/ /t/o/ /s/e/e/ /t/h/e/ /s/u/n/ /t/h/r/o/u/g/h/ /t/h/e/ /d/a/r/k/ /c/l/o/u/d/s/./,/L/i/s/t/e/n/i/n/g/ /t/o/ /t/h/e/ /s/o/u/n/d/ /o/f/ /m/y/ /h/e/a/r/t/ /m/a/k/e/s/ /m/e/ /f/e/e/l/ /a/l/i/v/e/./,/E/x/p/a/n/d/i/n/g/ /m/y/ /s/i/g/h/t/ /i/s/ /a/s/ /d/i/f/f/i/c/u/l/t/ /a/n/d/ /t/o/u/g/h/ /a/s/ /a/ /g/i/v/e/n/ /t/a/s/k/./,/S/o/m/e/t/i/m/e/s/ /i/t/ /r/a/i/n/s/ /i/n/ /m/y/ /m/i/n/d/ /b/u/t/ /I/ /w/o/n/'/t/ /d/e/n/y/ /i/t/./ ///////A/f/t/e/r/ /a/ /c/l/o/u/d/y/ /d/a/y/ /a/ /s/u/n/n/y/ /d/a/y/ /w/i/l/l/ /c/o/m/e/./
16,/(/L/o/o/k/i/n/g/ /o/u/t/ /t/h/e/ /w/i/n/d/o/w/./)/,/M/y/ /h/a/n/d/s/ /a/r/e/ /a/ /l/i/t/t/l/e/ /c/o/l/d/ /s/o/ /I/ /n/e/e/d/ /s/o/m/e/t/h/i/n/g/ /w/a/r/m/./,/I/ /w/a/n/t/ /t/o/ /m/a/k/e/ /w/a/t/e/r/ /i/s/n/'/t/ /l/e/a/k/i/n/g/ /a/n/y/m/o/r/e/./,/I/ /s/t/e/p/p/e/d/ /a/ /s/m/a/l/l/ /s/t/o/n/e/ /w/h/e/n/ /I/ /w/a/s/ /w/a/l/k/i/n/g/ /a/r/o/u/n/d/ /t/h/e/ /r/o/o/m/.///////.//////.///////I/ /t/h/i/n/k/ /I/t/ /w/a/s/n/'/t/ /c/l/e/a/n/e/d/ /y/e/t/./,/(/Y/o/u/ /a/r/e/ /d/o/z/i/n/g/ /o/f/f/./ ////////P/r/o/b/a/b/l/y/ /y/o/u/ /s/e/e/m/ /t/o/ /b/e/ /t/i/r/e/d/./)/,/I/t/ /i/s/ /a/l/w/a/y/s/ /h/a/r/d/ /t/o/ /g/e/t/ /u/p/ /i/n/ /t/h/e/ /m/o/r/n/i/n/g/./ /B/u/t/ /I/ /h/a/v/e/ /t/o/ /g/e/t/ /u/p/ /f/o/r/ /s/t/a/r/t/i/n/g/ /t/h/e/ /d/a/y/./,/I/ /w/a/n/t/ /t/o/ /e/a/t/ /a/ /l/o/t/ /o/f/ /g/r/e/a/s/y/ /f/o/o/d/ ////////b/u/t/ /i/t/ /i/s/ /n/o/t/ /g/o/o/d/ /f/o/r/ /m/y/ /h/e/a/l/t/h/ /i/f/ /I/ /e/a/t/ /i/t/ /e/v/e/r/y/ /d/a/y/./,/(/T/h/e/r/e/ /i/s/ /a/ /f/a/i/n/t/ /s/o/u/n/d/ /o/f/ /a/ /c/a/t/ /o/u/t/s/i/d/e/ /t/h/e/ /w/i/n/d/o/w/./)/,/I/f/ /I/ /w/e/r/e/ /s/i/n/g/i/n/g/ /a/ /s/o/n/g/ /n/o/w/ /n/o/ /o/n/e/ /w/o/u/l/d/ /l/i/s/t/e/n/ /t/o/ /m/e/ ///////e/x/c/e/p/t/ /y/o/u/./,/S/e/l/f/i/s/h/n/e/s/s/ /s/o/m/e/t/i/m/e/s/ /c/a/n/ /d/o/m/i/n/a/t/e/ /m/y/ /m/i/n/d/ /b/u/t/ /i/f/ /I/ /t/r/y/ /t/o/ /s/h/a/k/e/ /i/t/ /o/f/f///////.///////.///////./////// /I/t/ /i/s/ /n/o/t/ /e/a/s/y/./
17,/(/Y/o/u/ /a/r/e/ /l/o/o/k/i/n/g/ /a/t/ /t/h/e/ /d/u/s/t/ /o/n/ /t/h/e/ /f/l/o/o/r/./)/,/W/e/l/l/ /y/o/u/ /k/n/o/w/.////////.////////N/o/ /n/o/t/h/i/n/g/./,/I/'/m/ /a/l/w/a/y/s/ /t/i/r/e/d/ /o/f/ /g/e/t/t/i/n/g/ /u/p/ /i/n/ /t/h/e/ /m/o/r/n/i/n/g/./ /W/h/y/ /i/s/ /i/t/?/,/S/o/m/e/t/i/m/e/s/ /t/h/e/r/e/ /i/s/ /a/ /r/u/s/t/l/i/n/g/ /a/t/ /t/h/e/ /c/e/i/l/i/n/g/./ /W/h/a/t/ /i/s/ /i/t/?/,/S/o/m/e/t/i/m/e/s/ /I/'/m/ /s/l/e/e/p/y/ /a/t/ /n/i/g/h/t/ ////////s/o/m/e/t/i/m/e/s/ /I/'/m/ /n/o/t/ /s/l/e/e/p/y/ /a/s/ /w/e/l/l/././,/T/h/e/ /w/i/n/d/o/w/s/ /s/t/i/l/l/ /s/w/a/y/ /i/n/ /t/h/e/ /w/i/n/d/ /b/u/t/ /i/t/'/s/ /b/e/a/r/a/b/l/e/./,/I/ /t/h/i/n/k/ /i/t/ /i/s/ /h/a/r/d/ /t/o/ /b/u/y/ /s/n/a/c/k/s/ /w/i/t/h/ /1/ /d/o/l/l/a/r/ /t/h/e/s/e/ /d/a/y/s/./ /I/ /w/a/s/ /n/o/t/ /w/h/e/n/ /I/ /w/a/s/ /a/ /k/i/d/./,/I/t/ /i/s/ /g/o/o/d/ /t/o/ /d/r/y/ /i/t/ /w/i/t/h/ /a/ /d/r/y/e/r/ /b/u/t/ /I/ /t/h/i/n/k/ /i/t/ /w/i/l/l/ /b/e/ /b/e/t/t/e/r/ /i/f/ /i/t/ /i/s/ /i/n/ /t/h/e/ /s/u/n/./,/(/W/h/e/n/ /y/o/u/ /m/o/v/e/d/ /y/o/u/r/ /e/y/e/s/ /a/l/o/n/g/ /t/h/e/ /c/e/i/l/i/n/g/ /y/o/u/ /r/a/n/ /i/n/t/o/ /a/ /s/p/i/d/e/r/./)/,/(/L/o/o/k/i/n/g/ /u/p/ /a/t/ /t/h/e/ /s/k/y/./)/N/o/w/ /I/t/ /i/s/ /f/i/n/e/ /w/h/e/t/h/e/r/ /i/t/ /i/s/ /s/u/n/n/y/ /o/r/ /r/a/i/n/y/./
18,/(/Y/o/u/ /a/r/e/ /w/a/t/c/h/i/n/g/ /b/u/g/s/./)/,/I/ /n/e/v/e/r/ /w/o/n/'/t/ /b/e/ /a/b/l/e/ /t/o/ /e/a/t/ /w/h/a/t/ /I/ /w/a/n/t/./,/S/o/m/e/t/i/m/e/s/ /I/ /h/e/a/r/ /m/i/a/o/w/ /a/t/ /n/i/g/h/t/./ /H/a/d/ /t/h/e/ /c/a/t/s/ /b/e/e/n/ /s/i/t/t/i/n/g/ /t/h/e/r/e/?/,/I/ /h/a/v/e/ /h/e/a/r/d/ /a/ /t/h/u/m/p/ /o/n/ /t/h/e/ /w/a/l/l/ /b/e/c/a/u/s/e/ /i/t/ /w/a/s/ /s/o/ /w/i/n/d/y/./ /I/ /w/a/s/ /a/ /l/i/t/t/l/e/ /s/c/a/r/e/d/./,//I/t/ /i/s/ /a/l/w/a/y/s/ /t/o/u/g/h/ /t/o/ /w/a/k/e/ /u/p/ /i/n/ /t/h/e/ /m/o/r/n/i/n/g/./ /I/t/ /i/s/ /a/ /s/e/p/a/r/a/t/e/ /p/r/o/b/l/e/m/ /w/i/t/h/ /t/i/r/e/d/n/e/s/s/./,/W/a/i/t/i/n/g/ /f/o/r/ /s/o/m/e/t/h/i/n/g/ /m/a/k/e/s/ /e/x/h/a/u/s/t/i/n/g/ /f/o/r/ /m/e/ /a/n/d/ /f/o/r/ /o/t/h/e/r/s/./,"/I/ /w/a/n/t/ /t/o/ /r/e/f/r/a/i/n/ /f/r/o/m/ /g/o/i/n/g/ /o/u/t/ /o/n/ /d/a/y/s/ /w/h/e/n/ /a/i/r/ /p/o/l/l/u/t/i/o/n/ /i/s/ /s/e/v/e/r/e/./ /N/o/w/,/ /I/ /w/a/n/t/ /t/o/ /t/a/k/e/ /c/a/r/e/ /o/f/ /m/y/ /h/e/a/l/t/h/./",/I/ /a/m/ /t/h/i/n/k/i/n/g/ /a/b/o/u/t/ /c/l/e/a/n/i/n/g/ /t/h/e/ /k/i/t/c/h/e/n/ /b/u/t/ /I/ /c/a/n/n/o/t/ /f/o/l/l/o/w/ /m/y/ /t/h/o/u/g/h/t/./,/I/f/ /y/o/u/ /m/i/s/-/v/e/n/t/i/l/a/t/e/ /i/t/ /i/n/ /t/h/i/s/ /w/e/a/t/h/e/r/ /y/o/u/ /h/a/v/e/ /t/o/ /b/e/ /c/a/r/e/f/u/l/ ///////b/e/c/a/u/s/e/ /t/h/e/ /r/a/i/n/ /a/n/d/ /w/i/n/d/ /c/o/m/e/ /i/n/t/o/ /t/h/e/ /h/o/u/s/e/./,/I/ /d/o/ /n/o/t/ /t/h/i/n/k/ /i/t/ /i/s/ /b/a/d/ /t/o/ /h/a/v/e/ /a/ /m/e/a/n/i/n/g/l/e/s/s/ /d/a/y/ /b/e/c/a/u/s/e/ /I/ /h/a/v/e/ /t/o/m/o/r/r/o/w/./
19,/I/ /a/m/ /t/i/r/e/d/ /e/v/e/n/ /i/f/ /I/ /a/m/ /d/o/i/n/g/ /n/o/t/h/i/n/g/./,/W/h/e/r/e/ /w/i/l/l/ /c/l/o/u/d/s/ /k/e/e/p/s/ /f/l/o/w/i/n/g/ /a/w/a/y/?/,/I/n/ /t/h/e/ /m/o/r/n/i/n/g/ /t/h/e/ /b/i/r/d/s/ /s/i/t/ /i/n/ /t/h/e/ /w/i/n/d/o/w/ /a/n/d/ /g/o/ /a/w/a/y/./,/Y/o/u/ /c/a/n/n/o/t/ /r/i/d/e/ /a/ /b/i/k/e/ /i/n/ /t/h/i/s/ /w/e/a/t/h/e/r/./,/I/ /h/a/v/e/ /w/o/k/e/ /u/p/ /i/n/ /t/h/e/ /m/i/d/d/l/e/ /o/f/ /t/h/e/ /n/i/g/h/t/./,/I/t/'/s/ /n/o/t/ /w/r/o/n/g/ /b/u/t/ /j/u/s/t/ /d/i/f/f/e/r/e/n/t/ /b/e/c/a/u/s/e/ /t/h/e/r/e/ /i/s/ /n/o/ /o/n/e/ /a/n/s/w/e/r/./,/I/ /a/m/ /g/l/a/d/ /t/h/a/t/ /t/h/e/r/e/ /i/s/ /a/ /2/4/-/h/o/u/r/ /d/r/y/ /c/l/e/a/n/e/r/ /s/h/o/p/ /i/n/ /t/h/e/ /n/e/i/g/h/b/o/r/h/o/o/d/./,/N/o/ /m/a/t/t/e/r/ /h/o/w/ /h/a/r/d/ /i/t/ /i/s/ /t/o/ /g/e/t/ /r/i/d/ /o/f/ /t/h/e/ /t/i/r/e/s/o/m/e/./,/T/h/e/ /w/i/n/d/o/w/s/ /h/a/v/e/ /s/t/a/b/i/l/i/z/e/d/ /a/ /l/o/t/ /s/o/ /t/h/e/r/e/ /i/s/ /a/l/m/o/s/t/ /n/o/ /s/h/a/k/i/n/g/ /i/n/ /t/h/e/ /w/i/n/d/./,/I/ /a/m/ /n/o/t/ /a/f/r/a/i/d/ /o/f/ /s/l/e/e/p/i/n/g/ /t/h/e/s/e/ /d/a/y/s/./ /I/ /u/s/e/d/ /t/o/ /b/e/ /a/f/r/a/i/d/ /o/f/ /c/o/m/i/n/g/ /d/a/r/k/ /n/i/g/h/t/s/./
20,/(/W/a/t/c/h/i/n/g/ /s/p/i/d/e/r/s/ /o/n/ /t/h/e/ /c/e/i/l/i/n/g/./)/,/I/t/ /i/s/ /a/ /h/a/s/s/l/e/ /t/o/ /c/l/e/a/n/ /u/p/ /b/u/t/ /I/ /h/a/v/e/ /t/o/ /d/o/./,/I/ /f/e/l/t/ /s/a/d/ /a/ /l/i/t/t/l/e/ /b/i/t/ /n/o/ /o/n/e/ /a/r/o/u/n/d/ /m/e/ /w/h/e/n/ /I/'/m/ /s/i/c/k/./,/L/a/s/t/ /t/i/m/e/ /t/h/e/r/e/ /w/a/s/ /a/ /b/i/g/ /c/a/r/ /p/a/s/s/i/n/g/ /t/h/r/o/u/g/h/ /t/h/e/ /w/i/n/d/o/w/ /a/n/d/ /i/t/ /m/a/d/e/ /t/h/e/ /h/o/u/s/e/ /s/h/a/k/e/./,/S/o/m/e/t/i/m/e/s/ /I/ /g/e/t/ /c/o/n/f/u/s/e/d/ /a/b/o/u/t/ /w/h/e/t/h/e/r/ /I/ /a/m/ /d/r/e/a/m/i/n/g/ /o/r/ /n/o/t/./,/I/ /t/h/i/n/k/ /t/h/i/s/ /t/i/m/e/ /i/s/ /p/r/e/c/i/o/u/s/ /b/e/c/a/u/s/e/ /t/i/m/e/ /n/e/v/e/r/ /s/t/o/p/s/ /l/i/k/e/ /a/ /f/l/o/w/i/n/g/ /r/i/v/e/r/./,/(/Y/o/u/ /a/r/e/ /s/t/r/e/t/c/h/i/n/g/ /y/o/u/r/ /n/e/c/k/ /f/r/o/m/ /s/i/d/e/ /t/o/ /s/i/d/e/./)/,/T/h/e/r/e/ /w/a/s/ /d/u/s/t/ /o/n/ /t/h/e/ /d/e/s/k/ /s/o/ /I/ /c/l/e/a/n/e/d/ /i/t/ /h/a/r/d/./ ///////I/f/ /I/ /p/u/t/ /i/t/ /o/f/f/ /i/t/ /b/e/c/o/m/e/s/ /s/o/m/e/t/h/i/n/g/ /I/ /h/a/v/e/ /t/o/ /d/o/ /s/o/m/e/d/a/y/./,/I/ /t/h/i/n/k/ /I/ /a/m/ /l/i/v/i/n/g/ /a/ /h/a/p/p/y/ /l/i/f/e/ /n/o/w/./ ///////I/t/ /d/o/e/s/ /n/o/t/ /m/a/t/t/e/r/ /i/f/ /i/t/ /i/s/ /n/o/t/ /a/ /p/e/r/f/e/c/t/ /l/i/f/e/./,/I/ /h/a/d/ /h/a/t/e/d/ /t/h/a/t/ /t/o/m/o/r/r/o/w/ /w/o/u/l/d/ /c/o/m/e/ /w/h/e/n/ /I/ /s/l/e/p/t/ /b/u/t/ /n/o/t/ /n/o/w/./
21,/(/T/h/e/ /d/u/s/t/ /f/l/e/w/ /a/w/a/y/ /w/h/e/n/ /y/o/u/ /s/i/g/h/i/n/g/./)/,/W/e/l/l/.////////.//////// /w/h/a/t/ /s/h/o/u/l/d/ /I/ /d/o/?/,/N/o/w/ /I/'/m/ /u/s/e/d/ /t/o/ /b/e/i/n/g/ /a/l/o/n/e/./////// /I/ /m/e/a/n/ /i/t/././,/I/ /w/a/n/t/ /t/o/ /k/e/e/p/ /a/ /b/i/r/d/ /b/u/t/ /I/ /d/o/ /n/o/t/ /w/a/n/t/ /t/o/ /k/e/e/p/ /i/t/ /i/n/ /a/ /c/a/g/e/./ /////////I/ /d/o/n/'/t/ /l/i/k/e/ /b/e/ /s/t/u/c/k/ /i/n/ /a/ /p/l/a/c/e/ /a/s/ /e/i/t/h/e/r/./,/T/h/e/ /a/i/r/ /p/o/l/l/u/t/i/o/n/ /i/s/ /s/o/ /b/a/d/ /t/h/e/s/e/ /d/a/y/s/ /e/v/e/n/ /t/h/o/u/g/h/ /i/t/'/s/ /r/a/i/n/i/n/g/ /l/i/k/e/ /t/h/i/s/./,"/W/h/e/n/e/v/e/r/ /I/'/m/ /g/o/i/n/g/ /t/o/ /f/i/n/d/ /w/h/a/t/ /I/ /n/e/e/d/ /t/h/i/n/g/s/,/ /I/ /c/a/n/'/t/ /f/i/n/d/ /a/n/y/w/h/e/r/e/./ /I/ /h/o/p/e/ /i/t/ /w/e/r/e/ /n/e/a/r/b/y/ /m/e/././",/I/ /h/o/p/e/ /I/ /c/a/n/ /d/r/y/ /m/y/ /b/l/a/n/k/e/t/ /i/n/ /t/h/e/ /s/u/n/ /s/o/m/e/d/a/y/./,/I/s/ /t/h/e/r/e/ /s/u/c/h/ /a/ /s/p/e/c/i/a/l/ /r/e/a/s/o/n/ /f/o/r/ /n/o/t/ /b/e/i/n/g/ /s/e/e/n/?/,/I/ /w/a/n/t/ /t/o/ /l/o/o/k/ /h/i/g/h/e/r/./ ///////.///////.///////H/i/g/h/e/r/./,/I/t/ /i/s/ /a/l/w/a/y/s/ /t/i/r/e/s/o/m/e/ /t/o/ /c/l/e/a/n/ /u/p/ /k/i/t/c/h/e/n/ /a/f/t/e/r/ /c/o/o/k/i/n/g/./ ////////P/e/r/s/o/n/a/l/i/t/y/ /c/a/n/'/t/ /f/i/x/ /t/h/i/s/./.
